,Ticker,Buy Date,Buy Price,Shares,Closed,Close Date,Close Price,dual_key
0,HD,2024-05-29,326.53,2,False,,,HD_2024-05-29
1,COP,2024-05-29,117.6,2,False,,,COP_2024-05-29
2,WST,2024-05-29,324.86,2,False,,,WST_2024-05-29
3,MCD,2024-05-30,248.99,2,False,,,MCD_2024-05-30
4,LOW,2024-06-05,216.79,2,False,,,LOW_2024-06-05
5,CRL,2024-06-05,210.67,2,False,,,CRL_2024-06-05
6,AXON,2024-06-06,282.13,2,False,,,AXON_2024-06-06
7,ACN,2024-06-07,291.44,2,False,,,ACN_2024-06-07
8,GPC,2024-06-17,136.7,2,False,,,GPC_2024-06-17
9,CMCSA,2024-06-21,38.17,2,False,,,CMCSA_2024-06-21
10,CSGP,2024-06-21,73.33,2,False,,,CSGP_2024-06-21
11,BAX,2024-07-01,33.5,2,False,,,BAX_2024-07-01
12,ETR,2024-07-08,105.29,2,False,,,ETR_2024-07-08
13,IDXX,2024-07-15,490.8,2,False,,,IDXX_2024-07-15
14,CRL,2024-07-17,226.55,2,False,,,CRL_2024-07-17
15,PPL,2024-07-19,28.86,2,False,,,PPL_2024-07-19
16,DIS,2024-07-29,90.39,2,False,,,DIS_2024-07-29
17,BBWI,2024-08-01,36.9,2,False,,,BBWI_2024-08-01
18,HPE,2024-08-19,18.67000008,2,False,,,HPE_2024-08-19
19,ALB,2024-08-20,82.80000305,2,False,,,ALB_2024-08-20
20,MU,2024-08-23,102.9300003,2,False,,,MU_2024-08-23
